Time,Day,Activity,Daytype,week_start_date
6:00 AM,Monday,research,work,2021-01-04
6:30 AM,Monday,Not Work,work,2021-01-04
7:00 AM,Monday,Not Work,work,2021-01-04
7:30 AM,Monday,Not Work,work,2021-01-04
8:00 AM,Monday,research,work,2021-01-04
8:30 AM,Monday,research,work,2021-01-04
9:00 AM,Monday,logistics,work,2021-01-04
9:30 AM,Monday,logistics,work,2021-01-04
10:00 AM,Monday,Not Work,work,2021-01-04
10:30 AM,Monday,logistics,work,2021-01-04
11:00 AM,Monday,logistics,work,2021-01-04
11:30 AM,Monday,research,work,2021-01-04
12:00 PM,Monday,research,work,2021-01-04
12:30 PM,Monday,Not Work,work,2021-01-04
1:00 PM,Monday,logistics,work,2021-01-04
1:30 PM,Monday,service,work,2021-01-04
2:00 PM,Monday,research,work,2021-01-04
2:30 PM,Monday,talking,work,2021-01-04
3:00 PM,Monday,talking,work,2021-01-04
3:30 PM,Monday,talking,work,2021-01-04
4:00 PM,Monday,talking,work,2021-01-04
4:30 PM,Monday,Not Work,work,2021-01-04
5:00 PM,Monday,Not Work,work,2021-01-04
5:30 PM,Monday,Not Work,work,2021-01-04
6:00 PM,Monday,Not Work,work,2021-01-04
6:30 PM,Monday,Not Work,work,2021-01-04
7:00 PM,Monday,Not Work,work,2021-01-04
7:30 PM,Monday,Not Work,work,2021-01-04
8:00 PM,Monday,Not Work,work,2021-01-04
8:30 PM,Monday,Not Work,work,2021-01-04
9:00 PM,Monday,logistics,work,2021-01-04
9:30 PM,Monday,Not Work,work,2021-01-04
10:00 PM,Monday,Not Work,work,2021-01-04
10:30 PM,Monday,Not Work,work,2021-01-04
11:00 PM,Monday,Not Work,work,2021-01-04
11:30 PM,Monday,Not Work,work,2021-01-04
12:00 AM,Monday,Not Work,work,2021-01-04
6:00 AM,Tuesday,research,work,2021-01-04
6:30 AM,Tuesday,Not Work,work,2021-01-04
7:00 AM,Tuesday,Not Work,work,2021-01-04
7:30 AM,Tuesday,Not Work,work,2021-01-04
8:00 AM,Tuesday,logistics,work,2021-01-04
8:30 AM,Tuesday,research,work,2021-01-04
9:00 AM,Tuesday,research,work,2021-01-04
9:30 AM,Tuesday,logistics,work,2021-01-04
10:00 AM,Tuesday,logistics,work,2021-01-04
10:30 AM,Tuesday,Not Work,work,2021-01-04
11:00 AM,Tuesday,Not Work,work,2021-01-04
11:30 AM,Tuesday,talking,work,2021-01-04
12:00 PM,Tuesday,logistics,work,2021-01-04
12:30 PM,Tuesday,Not Work,work,2021-01-04
1:00 PM,Tuesday,logistics,work,2021-01-04
1:30 PM,Tuesday,talking,work,2021-01-04
2:00 PM,Tuesday,talking,work,2021-01-04
2:30 PM,Tuesday,logistics,work,2021-01-04
3:00 PM,Tuesday,logistics,work,2021-01-04
3:30 PM,Tuesday,research,work,2021-01-04
4:00 PM,Tuesday,logistics,work,2021-01-04
4:30 PM,Tuesday,Not Work,work,2021-01-04
5:00 PM,Tuesday,Not Work,work,2021-01-04
5:30 PM,Tuesday,Not Work,work,2021-01-04
6:00 PM,Tuesday,Not Work,work,2021-01-04
6:30 PM,Tuesday,Not Work,work,2021-01-04
