Time,Day,Activity,Daytype,week_start_date
6:00 AM,Sunday,Not Work,weekend,2023-12-31
6:30 AM,Sunday,Not Work,weekend,2023-12-31
7:00 AM,Sunday,Not Work,weekend,2023-12-31
7:30 AM,Sunday,Not Work,weekend,2023-12-31
8:00 AM,Sunday,Not Work,weekend,2023-12-31
8:30 AM,Sunday,Not Work,weekend,2023-12-31
9:00 AM,Sunday,Not Work,weekend,2023-12-31
9:30 AM,Sunday,Not Work,weekend,2023-12-31
10:00 AM,Sunday,Not Work,weekend,2023-12-31
10:30 AM,Sunday,Not Work,weekend,2023-12-31
11:00 AM,Sunday,Not Work,weekend,2023-12-31
11:30 AM,Sunday,Not Work,weekend,2023-12-31
12:00 PM,Sunday,Not Work,weekend,2023-12-31
12:30 PM,Sunday,Not Work,weekend,2023-12-31
1:00 PM,Sunday,Not Work,weekend,2023-12-31
1:30 PM,Sunday,Not Work,weekend,2023-12-31
2:00 PM,Sunday,Not Work,weekend,2023-12-31
2:30 PM,Sunday,Not Work,weekend,2023-12-31
3:00 PM,Sunday,Not Work,weekend,2023-12-31
3:30 PM,Sunday,Not Work,weekend,2023-12-31
4:00 PM,Sunday,Not Work,weekend,2023-12-31
4:30 PM,Sunday,Not Work,weekend,2023-12-31
5:00 PM,Sunday,Not Work,weekend,2023-12-31
5:30 PM,Sunday,Not Work,weekend,2023-12-31
6:00 PM,Sunday,Not Work,weekend,2023-12-31
6:30 PM,Sunday,Not Work,weekend,2023-12-31
7:00 PM,Sunday,Not Work,weekend,2023-12-31
7:30 PM,Sunday,Not Work,weekend,2023-12-31
8:00 PM,Sunday,Not Work,weekend,2023-12-31
8:30 PM,Sunday,Not Work,weekend,2023-12-31
9:00 PM,Sunday,Not Work,weekend,2023-12-31
9:30 PM,Sunday,Not Work,weekend,2023-12-31
10:00 PM,Sunday,Not Work,weekend,2023-12-31
10:30 PM,Sunday,Not Work,weekend,2023-12-31
11:00 PM,Sunday,Not Work,weekend,2023-12-31
11:30 PM,Sunday,Not Work,weekend,2023-12-31
12:00 AM,Sunday,Not Work,weekend,2023-12-31
6:00 AM,Monday,Not Work,day off,2023-12-31
6:30 AM,Monday,Not Work,day off,2023-12-31
7:00 AM,Monday,Not Work,day off,2023-12-31
7:30 AM,Monday,Not Work,day off,2023-12-31
8:00 AM,Monday,Not Work,day off,2023-12-31
8:30 AM,Monday,Not Work,day off,2023-12-31
9:00 AM,Monday,Not Work,day off,2023-12-31
9:30 AM,Monday,Not Work,day off,2023-12-31
10:00 AM,Monday,Not Work,day off,2023-12-31
10:30 AM,Monday,logistics,day off,2023-12-31
11:00 AM,Monday,service,day off,2023-12-31
11:30 AM,Monday,service,day off,2023-12-31
12:00 PM,Monday,Not Work,day off,2023-12-31
12:30 PM,Monday,Not Work,day off,2023-12-31
1:00 PM,Monday,Not Work,day off,2023-12-31
1:30 PM,Monday,Not Work,day off,2023-12-31
2:00 PM,Monday,Not Work,day off,2023-12-31
2:30 PM,Monday,Not Work,day off,2023-12-31
3:00 PM,Monday,Not Work,day off,2023-12-31
3:30 PM,Monday,Not Work,day off,2023-12-31
4:00 PM,Monday,Not Work,day off,2023-12-31
4:30 PM,Monday,Not Work,day off,2023-12-31
5:00 PM,Monday,Not Work,day off,2023-12-31
5:30 PM,Monday,Not Work,day off,2023-12-31
6:00 PM,Monday,Not Work,day off,2023-12-31
6:30 PM,Monday,Not Work,day off,2023-12-31
7:00 PM,Monday,Not Work,day off,2023-12-31
7:30 PM,Monday,service,day off,2023-12-31
8:00 PM,Monday,logistics,day off,2023-12-31
8:30 PM,Monday,logistics,day off,2023-12-31
9:00 PM,Monday,Not Work,day off,2023-12-31
9:30 PM,Monday,Not Work,day off,2023-12-31
10:00 PM,Monday,Not Work,day off,2023-12-31
10:30 PM,Monday,Not Work,day off,2023-12-31
11:00 PM,Monday,Not Work,day off,2023-12-31
11:30 PM,Monday,Not Work,day off,2023-12-31
12:00 AM,Monday,Not Work,day off,2023-12-31
6:00 AM,Tuesday,Not Work,work,2023-12-31
6:30 AM,Tuesday,Not Work,work,2023-12-31
7:00 AM,Tuesday,Not Work,work,2023-12-31
7:30 AM,Tuesday,Not Work,work,2023-12-31
8:00 AM,Tuesday,research,work,2023-12-31
8:30 AM,Tuesday,research,work,2023-12-31
9:00 AM,Tuesday,Not Work,work,2023-12-31
9:30 AM,Tuesday,Not Work,work,2023-12-31
10:00 AM,Tuesday,talking,work,2023-12-31
10:30 AM,Tuesday,talking,work,2023-12-31
11:00 AM,Tuesday,research,work,2023-12-31
11:30 AM,Tuesday,research,work,2023-12-31
12:00 PM,Tuesday,Not Work,work,2023-12-31
12:30 PM,Tuesday,research,work,2023-12-31
1:00 PM,Tuesday,research,work,2023-12-31
1:30 PM,Tuesday,logistics,work,2023-12-31
2:00 PM,Tuesday,logistics,work,2023-12-31
2:30 PM,Tuesday,research,work,2023-12-31
3:00 PM,Tuesday,Not Work,work,2023-12-31
3:30 PM,Tuesday,logistics,work,2023-12-31
4:00 PM,Tuesday,research,work,2023-12-31
4:30 PM,Tuesday,Not Work,work,2023-12-31
5:00 PM,Tuesday,Not Work,work,2023-12-31
5:30 PM,Tuesday,Not Work,work,2023-12-31
6:00 PM,Tuesday,Not Work,work,2023-12-31
6:30 PM,Tuesday,Not Work,work,2023-12-31
7:00 PM,Tuesday,Not Work,work,2023-12-31
7:30 PM,Tuesday,Not Work,work,2023-12-31
