Time,Day,Activity,Daytype,week_start_date
6:00 AM,Sunday,Not Work,weekend,2023-01-01
6:30 AM,Sunday,Not Work,weekend,2023-01-01
7:00 AM,Sunday,Not Work,weekend,2023-01-01
7:30 AM,Sunday,Not Work,weekend,2023-01-01
8:00 AM,Sunday,Not Work,weekend,2023-01-01
8:30 AM,Sunday,Not Work,weekend,2023-01-01
9:00 AM,Sunday,Not Work,weekend,2023-01-01
9:30 AM,Sunday,Not Work,weekend,2023-01-01
10:00 AM,Sunday,Not Work,weekend,2023-01-01
10:30 AM,Sunday,Not Work,weekend,2023-01-01
11:00 AM,Sunday,Not Work,weekend,2023-01-01
11:30 AM,Sunday,Not Work,weekend,2023-01-01
12:00 PM,Sunday,Not Work,weekend,2023-01-01
12:30 PM,Sunday,Not Work,weekend,2023-01-01
1:00 PM,Sunday,Not Work,weekend,2023-01-01
1:30 PM,Sunday,Not Work,weekend,2023-01-01
2:00 PM,Sunday,Not Work,weekend,2023-01-01
2:30 PM,Sunday,Not Work,weekend,2023-01-01
3:00 PM,Sunday,Not Work,weekend,2023-01-01
3:30 PM,Sunday,Not Work,weekend,2023-01-01
4:00 PM,Sunday,Not Work,weekend,2023-01-01
4:30 PM,Sunday,Not Work,weekend,2023-01-01
5:00 PM,Sunday,Not Work,weekend,2023-01-01
5:30 PM,Sunday,Not Work,weekend,2023-01-01
6:00 PM,Sunday,Not Work,weekend,2023-01-01
6:30 PM,Sunday,Not Work,weekend,2023-01-01
7:00 PM,Sunday,Not Work,weekend,2023-01-01
7:30 PM,Sunday,Not Work,weekend,2023-01-01
8:00 PM,Sunday,Not Work,weekend,2023-01-01
8:30 PM,Sunday,Not Work,weekend,2023-01-01
9:00 PM,Sunday,Not Work,weekend,2023-01-01
9:30 PM,Sunday,Not Work,weekend,2023-01-01
10:00 PM,Sunday,Not Work,weekend,2023-01-01
10:30 PM,Sunday,Not Work,weekend,2023-01-01
11:00 PM,Sunday,Not Work,weekend,2023-01-01
6:00 AM,Monday,Not Work,day off,2023-01-01
6:30 AM,Monday,Not Work,day off,2023-01-01
7:00 AM,Monday,Not Work,day off,2023-01-01
7:30 AM,Monday,Not Work,day off,2023-01-01
8:00 AM,Monday,Not Work,day off,2023-01-01
8:30 AM,Monday,Not Work,day off,2023-01-01
9:00 AM,Monday,Not Work,day off,2023-01-01
9:30 AM,Monday,Not Work,day off,2023-01-01
10:00 AM,Monday,Not Work,day off,2023-01-01
10:30 AM,Monday,Not Work,day off,2023-01-01
11:00 AM,Monday,Not Work,day off,2023-01-01
11:30 AM,Monday,Not Work,day off,2023-01-01
12:00 PM,Monday,Not Work,day off,2023-01-01
12:30 PM,Monday,Not Work,day off,2023-01-01
1:00 PM,Monday,Not Work,day off,2023-01-01
1:30 PM,Monday,Not Work,day off,2023-01-01
2:00 PM,Monday,Not Work,day off,2023-01-01
2:30 PM,Monday,Not Work,day off,2023-01-01
3:00 PM,Monday,Not Work,day off,2023-01-01
3:30 PM,Monday,Not Work,day off,2023-01-01
4:00 PM,Monday,Not Work,day off,2023-01-01
4:30 PM,Monday,Not Work,day off,2023-01-01
5:00 PM,Monday,Not Work,day off,2023-01-01
5:30 PM,Monday,Not Work,day off,2023-01-01
6:00 PM,Monday,Not Work,day off,2023-01-01
6:30 PM,Monday,Not Work,day off,2023-01-01
7:00 PM,Monday,Not Work,day off,2023-01-01
7:30 PM,Monday,Not Work,day off,2023-01-01
8:00 PM,Monday,Not Work,day off,2023-01-01
8:30 PM,Monday,Not Work,day off,2023-01-01
9:00 PM,Monday,Not Work,day off,2023-01-01
9:30 PM,Monday,Not Work,day off,2023-01-01
