Time,Day,Activity,Daytype,week_start_date
6:00 AM,Monday,Not Work,work,2022-01-03
6:30 AM,Monday,Not Work,work,2022-01-03
7:00 AM,Monday,Not Work,work,2022-01-03
7:30 AM,Monday,Not Work,work,2022-01-03
8:00 AM,Monday,Not Work,work,2022-01-03
8:30 AM,Monday,logistics,work,2022-01-03
9:00 AM,Monday,logistics,work,2022-01-03
9:30 AM,Monday,logistics,work,2022-01-03
10:00 AM,Monday,logistics,work,2022-01-03
10:30 AM,Monday,mentees,work,2022-01-03
11:00 AM,Monday,mentees,work,2022-01-03
11:30 AM,Monday,mentees,work,2022-01-03
12:00 PM,Monday,logistics,work,2022-01-03
12:30 PM,Monday,logistics,work,2022-01-03
1:00 PM,Monday,talking,work,2022-01-03
1:30 PM,Monday,talking,work,2022-01-03
2:00 PM,Monday,logistics,work,2022-01-03
2:30 PM,Monday,logistics,work,2022-01-03
3:00 PM,Monday,research,work,2022-01-03
3:30 PM,Monday,research,work,2022-01-03
4:00 PM,Monday,Not Work,work,2022-01-03
4:30 PM,Monday,Not Work,work,2022-01-03
5:00 PM,Monday,Not Work,work,2022-01-03
5:30 PM,Monday,Not Work,work,2022-01-03
6:00 PM,Monday,Not Work,work,2022-01-03
6:30 PM,Monday,Not Work,work,2022-01-03
7:00 PM,Monday,Not Work,work,2022-01-03
7:30 PM,Monday,Not Work,work,2022-01-03
8:00 PM,Monday,Not Work,work,2022-01-03
8:30 PM,Monday,Not Work,work,2022-01-03
9:00 PM,Monday,Not Work,work,2022-01-03
9:30 PM,Monday,Not Work,work,2022-01-03
10:00 PM,Monday,Not Work,work,2022-01-03
10:30 PM,Monday,Not Work,work,2022-01-03
11:00 PM,Monday,Not Work,work,2022-01-03
6:00 AM,Tuesday,Not Work,work,2022-01-03
6:30 AM,Tuesday,Not Work,work,2022-01-03
7:00 AM,Tuesday,Not Work,work,2022-01-03
7:30 AM,Tuesday,Not Work,work,2022-01-03
8:00 AM,Tuesday,Not Work,work,2022-01-03
